"Geslacht";"Leeftijd";"Burgerlijke staat";"Perioden";"Regio's";"Bevolking op 1 januari (aantal)"
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2019";"Assen";67963
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2020";"Assen";68599
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"1988";"Asten";14762
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2000";"Asten";15779
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2005";"Asten";16261
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2019";"Asten";16710
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2020";"Asten";16721
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"1988";"Avereest";14198
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2000";"Avereest";15286
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2005";"Avereest";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2019";"Avereest";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2020";"Avereest";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"1988";"Axel";12274
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2000";"Axel";12165
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2005";"Axel";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2019";"Axel";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2020";"Axel";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"1988";"Baarle-Nassau";5877
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2000";"Baarle-Nassau";6192
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2005";"Baarle-Nassau";6581
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2019";"Baarle-Nassau";6847
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2020";"Baarle-Nassau";6859
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"1988";"Baarn";24835
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2000";"Baarn";24508
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2005";"Baarn";24416
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2019";"Baarn";24767
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2020";"Baarn";24868
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"1988";"Baexem";2424
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2000";"Baexem";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2005";"Baexem";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2019";"Baexem";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2020";"Baexem";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"1988";"Baflo";2845
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2000";"Baflo";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2005";"Baflo";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2019";"Baflo";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2020";"Baflo";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"1988";"Bakel en Milheeze";7566
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2000";"Bakel en Milheeze";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2005";"Bakel en Milheeze";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2019";"Bakel en Milheeze";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2020";"Bakel en Milheeze";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"1988";"Barendrecht";19788
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2000";"Barendrecht";28848
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2005";"Barendrecht";39294
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2019";"Barendrecht";48673
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2020";"Barendrecht";48714
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"1988";"Barneveld";40886
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2000";"Barneveld";47744
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2005";"Barneveld";50026
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2019";"Barneveld";57971
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2020";"Barneveld";59082
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"1988";"Barsingerhorn";3977
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2000";"Barsingerhorn";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2005";"Barsingerhorn";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2019";"Barsingerhorn";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2020";"Barsingerhorn";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"1988";"Bathmen";5209
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2000";"Bathmen";5193
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2005";"Bathmen";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2019";"Bathmen";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2020";"Bathmen";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"1988";"Bedum";9979
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2000";"Bedum";10859
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2005";"Bedum";10733
